epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,490.609,0.36726,0.24414,0.79428,1,1,0.995,0.91072,0.37441,0.23981,0.84977,0.000820675,0.000820675,0.000820675
45,501.174,0.37982,0.25097,0.79242,0.99513,1,0.995,0.92376,0.39212,0.24862,0.85455,0.000806528,0.000806528,0.000806528
46,511.704,0.3615,0.23285,0.7952,0.99286,1,0.995,0.90121,0.40144,0.22665,0.85508,0.00079238,0.00079238,0.00079238
47,522.227,0.35884,0.23351,0.80423,0.99427,1,0.995,0.86867,0.39487,0.22662,0.85291,0.000778233,0.000778233,0.000778233
48,532.821,0.37001,0.24281,0.79872,0.99904,1,0.995,0.87525,0.41139,0.23882,0.85674,0.000764086,0.000764086,0.000764086
49,543.339,0.37799,0.23833,0.80765,0.99361,1,0.995,0.90143,0.3798,0.23023,0.85191,0.000749939,0.000749939,0.000749939
50,553.848,0.37318,0.2362,0.79568,0.99309,1,0.995,0.91241,0.38197,0.22117,0.85109,0.000735792,0.000735792,0.000735792
51,564.436,0.37791,0.23839,0.80428,0.99407,1,0.995,0.90661,0.39024,0.2335,0.85499,0.000721645,0.000721645,0.000721645
52,574.942,0.35323,0.22675,0.79631,0.99452,1,0.995,0.91744,0.38486,0.22341,0.85113,0.000707498,0.000707498,0.000707498
53,585.543,0.34436,0.22047,0.79312,0.99515,1,0.995,0.91109,0.38906,0.23272,0.84989,0.000693351,0.000693351,0.000693351
54,596.11,0.36072,0.22823,0.78698,0.99453,1,0.995,0.90608,0.37728,0.22542,0.84699,0.000679204,0.000679204,0.000679204
55,606.565,0.36739,0.22797,0.80149,0.99345,1,0.995,0.91973,0.37132,0.22252,0.84787,0.000665057,0.000665057,0.000665057
56,617.091,0.35137,0.2278,0.79972,0.99536,1,0.995,0.92408,0.39153,0.22953,0.84907,0.000650909,0.000650909,0.000650909
57,627.904,0.33619,0.22096,0.80139,0.99416,1,0.995,0.89384,0.38623,0.21449,0.84608,0.000636762,0.000636762,0.000636762
58,638.87,0.33702,0.21406,0.79124,0.99263,1,0.995,0.91499,0.38298,0.21466,0.84625,0.000622615,0.000622615,0.000622615
59,649.959,0.34821,0.22323,0.79978,0.99296,1,0.995,0.91507,0.36001,0.2167,0.83946,0.000608468,0.000608468,0.000608468
60,660.988,0.33838,0.21954,0.79958,0.99274,1,0.995,0.91921,0.35562,0.2059,0.841,0.000594321,0.000594321,0.000594321
61,671.995,0.33866,0.22214,0.79443,0.99733,1,0.995,0.89273,0.36737,0.21546,0.844,0.000580174,0.000580174,0.000580174
62,683.188,0.33783,0.22496,0.79646,0.99322,1,0.995,0.89895,0.36541,0.21621,0.84568,0.000566027,0.000566027,0.000566027
63,693.758,0.33282,0.22123,0.79654,0.99292,1,0.995,0.90083,0.37342,0.22078,0.84634,0.00055188,0.00055188,0.00055188
64,704.373,0.33096,0.21403,0.78327,0.99866,1,0.995,0.90956,0.36986,0.21196,0.84493,0.000537733,0.000537733,0.000537733
65,715.079,0.33301,0.21742,0.78957,0.99306,1,0.995,0.91253,0.36418,0.20914,0.84555,0.000523586,0.000523586,0.000523586
66,725.633,0.32065,0.20864,0.79247,0.99442,1,0.995,0.90432,0.37508,0.21112,0.84576,0.000509438,0.000509438,0.000509438
67,736.313,0.32394,0.21258,0.78408,0.99869,1,0.995,0.90869,0.39416,0.22876,0.85293,0.000495291,0.000495291,0.000495291
68,746.937,0.32562,0.20622,0.79188,1,1,0.995,0.88245,0.40471,0.22532,0.85189,0.000481144,0.000481144,0.000481144
69,757.505,0.32692,0.20986,0.79662,0.99887,1,0.995,0.87962,0.38132,0.21233,0.84856,0.000466997,0.000466997,0.000466997
70,768.129,0.31799,0.20306,0.79506,0.99384,1,0.995,0.89798,0.37795,0.20175,0.84655,0.00045285,0.00045285,0.00045285
71,778.647,0.31815,0.20533,0.78942,0.99411,1,0.995,0.90978,0.37679,0.20237,0.8452,0.000438703,0.000438703,0.000438703
